"id";"name";"city_name";"geometry_name";"office";"phone";"email";"website";"lon";"lat";"category";"subcategory"
"1116";"Виктория, ООО, управляющая компания";"Уссурийск";"Некрасова, 124";"204 офис; 2 этаж";"+74234358754";NULL;NULL;"131.94856";"43.810496";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1117";"Жэу-7, ООО";"Уссурийск";"Плеханова, 36Б";"10 офис; 2 этаж";"+74234329115";NULL;NULL;"131.945853";"43.797014";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1118";"Имидж, ООО, управляющая компания";"Уссурийск";"Ленинградская, 43в/1";;"+74234344575";NULL;NULL;"131.932705";"43.803481";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1119";"Домук, ООО, управляющая компания";"Уссурийск";"Калинина, 41";"2 этаж";"+74234324040";NULL;NULL;"131.957387";"43.788349";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1120";"Уют Плюс, ТСЖ";"Уссурийск";"Пролетарская, 131";;"+79242590123";NULL;NULL;"131.960755";"43.804118";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1121";"Наш город, ООО, управляющая компания";"Уссурийск";"Ветеранов, 21";;"+74234261499";NULL;NULL;"131.98702";"43.811168";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1122";"Перспектива, ООО, управляющая компания";"Уссурийск";"Некрасова, 117а";"207-209 офис";"+74234333785";NULL;NULL;"131.948291";"43.806113";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1123";"Приоритет, управляющая компания";"Уссурийск";"Советская, 84";"314 офис; 3 этаж";"+74234343431";NULL;NULL;"131.947557";"43.80043";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1124";"Домук-1, ООО, управляющая компания";"Уссурийск";"Калинина, 41";"2 этаж";"+74234325952";NULL;NULL;"131.957387";"43.788349";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1125";"Жэу-1, ООО";"Уссурийск";"Плеханова, 36Б";"6 офис; 2 этаж";"+74234329115";NULL;NULL;"131.945853";"43.797014";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1126";"Армада, управляющая компания";"Уссурийск";"Некрасова, 221Б ст2";"8 офис; 2 этаж";"+74234330012";NULL;NULL;"131.945543";"43.825261";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1127";"ГУЖФ, ООО, управляющая компания";"Уссурийск";"Некрасова, 227";"25 офис; 1 этаж";"+74234330985";NULL;NULL;"131.944161";"43.827132";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1128";"Вертикаль, ООО, управляющая компания";"Уссурийск";"Блюхера проспект, 51 ст5";"8 офис";"+74234213356";NULL;NULL;"131.980106";"43.811378";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1129";"Горизонт, ТСЖ";"Уссурийск";"Суханова, 89";"1 этаж";"+74234329108";NULL;NULL;"131.958053";"43.794747";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1130";"ЖЭУ-8, ООО";"Уссурийск";"Некрасова, 117а";"22 кабинет";"+74234334241";NULL;NULL;"131.948291";"43.806113";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1131";"Гарант, управляющая компания";"Уссурийск";"Садовая, 3";"2 этаж";"+74234373069";NULL;NULL;"131.977759";"43.81248";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1132";"Комфорт-Сервис, ООО, управляющая компания";"Уссурийск";"Блюхера проспект, 51";"2 этаж";"+74234262032";NULL;NULL;"131.980546";"43.810936";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1133";"Бастион ДВ, ООО, управляющая компания";"Уссурийск";"Пушкина, 17";"вход с ул. Горького";"+74234307073";NULL;NULL;"131.945786";"43.79902";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1134";"Дзержинец, ТСЖ";"Уссурийск";"Дзержинского, 15";;"+74234343305";NULL;NULL;"131.938773";"43.795878";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1135";"Имидж-1, ООО, управляющая компания";"Уссурийск";"Ленинградская, 43в/1";;"+74234340546";NULL;NULL;"131.932705";"43.803481";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1136";"Статус ДВ, ООО";"Уссурийск";"Ленинградская, 43в/1";"1 этаж";"+74234340546";NULL;NULL;"131.932705";"43.803481";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1137";"Новицкий и Партнеры, ООО, управляющая компания";"Уссурийск";"Приморская, 19";;"+74234334742";NULL;NULL;"131.977751";"43.798603";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1138";"Жэу-7, ООО";"Уссурийск";"Пролетарская, 72а ст2";;"+74234213257";NULL;NULL;"131.948606";"43.802054";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1139";"Позитив, ООО, управляющая компания";"Уссурийск";"Блюхера проспект, 51 ст5";"2 этаж";"+74234240614";NULL;NULL;"131.980106";"43.811378";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1140";"Имидж, ООО, управляющая компания";"Уссурийск";"Ленина, 93";;"+74234322285";NULL;NULL;"131.955285";"43.795927";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1141";"Ужик-1, ООО, управляющая компания";"Уссурийск";"Калинина, 41";"2 этаж";"+74234324040";NULL;NULL;"131.957387";"43.788349";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1142";"Калина 1, управляющая компания";"Уссурийск";"Приморская, 19";"2 этаж";"+74234264421";NULL;NULL;"131.977751";"43.798603";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1143";"Виктория, ТСЖ";"Уссурийск";"Заречная, 2Б";;"+79146505993";NULL;NULL;"131.978396";"43.773688";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1144";"Ужик, ООО, управляющая компания";"Уссурийск";"Калинина, 41";"2 этаж";"+74234324040";NULL;NULL;"131.957387";"43.788349";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1145";"СервисДом, ООО, управляющая компания";"Уссурийск";"Мельничная, 1";"цокольный этаж";"+74234339015";NULL;NULL;"131.976485";"43.796443";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1146";"Алмаз, ТСЖ";"Уссурийск";"Фрунзе, 42";"1 этаж";"+79025593898";NULL;NULL;"131.95058";"43.794688";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1147";"ЖУК, ООО, управляющая компания";"Уссурийск";"Ивасика, 62";;"+74234356678";NULL;NULL;"131.934737";"43.786484";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1148";"Жилсервис, ООО, управляющая компания";"Михайловка";"Колхозная, 99";"1 этаж";"+74234624515";NULL;NULL;"132.008301";"43.932626";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1149";"Любимый город, ООО, управляющая компания";"Уссурийск";"Комсомольская, 20";"11 офис; 1 этаж";"+74234372313";NULL;NULL;"131.941325";"43.802873";"Коммунальные / бытовые / ритуальные услуги";"Жилищно-коммунальные услуги"
"1150";"Мегачас, салон часов";"Уссурийск";"Некрасова, 83";;"+79242632200";NULL;NULL;"131.950835";"43.799217";"Коммунальные / бытовые / ритуальные услуги";"Ремонт часов"
"1151";"Универсал, многопрофильный центр";"Уссурийск";"Ленина, 122";"11 офис; 1 этаж";"+74234270025";"lenina122@printvl.ru";"http://www.printvl.ru";"131.955689";"43.799878";"Коммунальные / бытовые / ритуальные услуги";"Фотоцентры"
"1152";"Оргцентр Парус";"Михайловка";"Красноармейская, 24";"1 этаж";"+79242481588";NULL;NULL;"132.005348";"43.92576";"Коммунальные / бытовые / ритуальные услуги";"Фотоцентры"
"1153";"Универсал, многопрофильный центр";"Уссурийск";"Русская, 8а ст2";;"+74234270708";"sloboda@printvl.ru";"http://www.printvl.ru";"131.984939";"43.809075";"Коммунальные / бытовые / ритуальные услуги";"Фотоцентры"
"1154";"Универсал, многопрофильный центр";"Уссурийск";"Калинина, 32";"2 этаж";"+74234270024";NULL;"http://www.printvl.ru";"131.957611";"43.787188";"Коммунальные / бытовые / ритуальные услуги";"Фотоцентры"
"1155";"Туалет";"Уссурийск";"Муданьцзянская, 7";;NULL;NULL;NULL;"131.947516";"43.826759";"Коммунальные / бытовые / ритуальные услуги";"Общественные туалеты"
"1156";"Копи-Лэнд, ООО, торгово-сервисная компания";"Уссурийск";"Некрасова, 117а";"121 офис; 1 этаж";"+79020614020";NULL;"http://www.copy-land.ru";"131.948291";"43.806113";"Компьютеры / Бытовая техника / Офисная техника";"Расходные материалы для оргтехники"
"1157";"Complex, торгово-сервисная компания";"Уссурийск";"Советская, 84";"104 кабинет; 1 этаж";"+74234311579";NULL;"http://www.complex25.ru";"131.947557";"43.80043";"Компьютеры / Бытовая техника / Офисная техника";"Расходные материалы для оргтехники"
"1158";"Позитив+1, торгово-сервисная компания";"Уссурийск";"Уссурийская, 65";"1 этаж";"+74234222333";NULL;NULL;"131.946612";"43.806922";"Компьютеры / Бытовая техника / Офисная техника";"Расходные материалы для оргтехники"
"1159";"Баккон, ООО, торгово-сервисная компания";"Уссурийск";"Советская, 77";"1 этаж";"+74234373399";NULL;"http://www.bakkon.ru";"131.945617";"43.802959";"Компьютеры / Бытовая техника / Офисная техника";"Расходные материалы для оргтехники"
"1160";"Омега Компьютерс, компьютерная фирма";"Уссурийск";"Пушкина, 50";;"+74234338363";NULL;NULL;"131.950495";"43.799182";"Компьютеры / Бытовая техника / Офисная техника";"Расходные материалы для оргтехники"
"1161";"ТехноМаг, ООО, магазин-салон";"Уссурийск";"Калинина, 54";"2 этаж; центр Старый ГУМ";"+74234329811";NULL;NULL;"131.958737";"43.789902";"Компьютеры / Бытовая техника / Офисная техника";"Расходные материалы для оргтехники"
"1162";"Союз, торгово-сервисная компания";"Уссурийск";"Октябрьская, 65а";"1 этаж";"+74234324249";NULL;NULL;"131.94709";"43.796303";"Компьютеры / Бытовая техника / Офисная техника";"Расходные материалы для оргтехники"
"1163";"Оргсервис, торгово-сервисная компания";"Уссурийск";"Кирова, 12а";"2 этаж";"+74234214021";NULL;NULL;"131.950815";"43.809976";"Компьютеры / Бытовая техника / Офисная техника";"Расходные материалы для оргтехники"
"1164";"Kompix, торгово-сервисная компания";"Михайловка";"Красноармейская, 28";"2 этаж";"+79242475887";NULL;NULL;"132.006966";"43.926313";"Компьютеры / Бытовая техника / Офисная техника";"Расходные материалы для оргтехники"
"1165";"Копи-Лэнд, ООО, торгово-сервисная компания";"Уссурийск";"Горького, 139";;"+74234240535";NULL;"http://www.copy-land.ru";"131.940853";"43.812745";"Компьютеры / Бытовая техника / Офисная техника";"Расходные материалы для оргтехники"
"1166";"Омега Компьютерс, компьютерная фирма";"Уссурийск";"Тимирязева, 56";"1; 16 кабинет; 2 этаж";"+74234337188";NULL;NULL;"131.957213";"43.790304";"Компьютеры / Бытовая техника / Офисная техника";"Расходные материалы для оргтехники"
"1167";"Вектор-ПК, ООО, сервисная компания";"Уссурийск";"Калинина, 54";"2 этаж; магазин-салон ТехноМаг";"+74234329811";NULL;"http://vektor-pc.ru";"131.958737";"43.789902";"Компьютеры / Бытовая техника / Офисная техника";"Услуги системного администрирования"
"1168";"Intel Service, торгово-сервисная компания";"Уссурийск";"Некрасова, 82Б";"2 этаж";"+79294263631";NULL;"http://intel-service.su";"131.95149";"43.80033";"Компьютеры / Бытовая техника / Офисная техника";"Услуги системного администрирования"
"1169";"Матрица, торгово-сервисная компания";"Уссурийск";"Комсомольская, 10а";"2 этаж";"+79244268663";NULL;NULL;"131.938603";"43.802503";"Компьютеры / Бытовая техника / Офисная техника";"Услуги системного администрирования"
"1170";"Новые системы, ООО, центр компьютерной помощи";"Уссурийск";;;"+74234213471";NULL;NULL;;;"Компьютеры / Бытовая техника / Офисная техника";"Услуги системного администрирования"
"1171";"Intel Service, торгово-сервисная компания";"Уссурийск";"Александра Францева, 2а";"2 этаж";"+79294263631";NULL;"http://intel-service.su";"131.977458";"43.789532";"Компьютеры / Бытовая техника / Офисная техника";"Услуги системного администрирования"
"1172";"Формат, компания";"Уссурийск";"Кузнечная, 14д";;"+74234373273";"sc-format@mail.ru";NULL;"131.963981";"43.792344";"Компьютеры / Бытовая техника / Офисная техника";"Ремонт компьютеров"
"1173";"МирКом, торгово-сервисная компания";"Уссурийск";"Советская, 84";"101 кабинет; 1 этаж";"+74234370247";NULL;NULL;"131.947557";"43.80043";"Компьютеры / Бытовая техника / Офисная техника";"Ремонт компьютеров"
"1174";"Device, сервисный центр";"Уссурийск";"Советская, 84";"209 кабинет; 2 этаж";"+74234374746";NULL;NULL;"131.947557";"43.80043";"Компьютеры / Бытовая техника / Офисная техника";"Ремонт компьютеров"
"1175";"СпейсКомп ДВ, торгово-сервисный центр";"Уссурийск";"Блюхера проспект, 42";"1 этаж";"+74234378356";NULL;NULL;"131.983628";"43.805179";"Компьютеры / Бытовая техника / Офисная техника";"Ремонт компьютеров"
"1176";"Арбат, торгово-сервисная компания";"Уссурийск";"Плеханова, 100";"107 офис";"+74234339078";NULL;NULL;"131.953982";"43.798066";"Компьютеры / Бытовая техника / Офисная техника";"Ремонт компьютеров"
"1177";"Service City, сервисная компания";"Уссурийск";"Мельничная, 2г";"21 павильон; 2 этаж";"+79242527363";NULL;NULL;"131.977204";"43.798821";"Компьютеры / Бытовая техника / Офисная техника";"Ремонт компьютеров"
"1178";"Silvio, торгово-сервисная компания";"Уссурийск";"Горького, 37";;"+74234323575";NULL;NULL;"131.943412";"43.795183";"Компьютеры / Бытовая техника / Офисная техника";"Ремонт компьютеров"
"1179";"Домотехника, магазин бытовой техники";"Уссурийск";"Ленина, 134а";;"+74234333333";NULL;"http://domotehnika.ru";"131.954914";"43.802205";"Компьютеры / Бытовая техника / Офисная техника";"Аудиотехника / Видеотехника"
"1180";"Оптима, торговая компания";"Уссурийск";"Некрасова, 258Б ст4";;"+74234332103";NULL;"http://www.optima-dv.ru";"131.945966";"43.835431";"Компьютеры / Бытовая техника / Офисная техника";"Аудиотехника / Видеотехника"
"1181";"Союз, магазин";"Михайловка";"Ленинская, 44";"1 этаж";"+74234623158";NULL;NULL;"132.000852";"43.925941";"Компьютеры / Бытовая техника / Офисная техника";"Аудиотехника / Видеотехника"
"1182";"Домотехника, магазин бытовой техники";"Михайловка";"1-й квартал, 5";"1 этаж";"+74234623041";NULL;"http://domotekhnika.ru";"132.004414";"43.92488";"Компьютеры / Бытовая техника / Офисная техника";"Аудиотехника / Видеотехника"
"1183";"Ампер, магазин";"Уссурийск";"Октябрьская, 77";;"+74234336463";NULL;NULL;"131.950429";"43.796501";"Компьютеры / Бытовая техника / Офисная техника";"Запчасти / аксессуары для бытовой техники"
"1184";"ВЛ Сервис, ООО, торгово-сервисная компания";"Уссурийск";"Колхозная, 10 ст2";;"+74234317373";NULL;"http://www.vlpart.ru";"132.01102";"43.76286";"Компьютеры / Бытовая техника / Офисная техника";"Запчасти / аксессуары для бытовой техники"
"1185";"Мастер, сервисная мастерская";"Уссурийск";"Уссурийская, 65";"10 офис; 1 этаж";"+79244232233";NULL;NULL;"131.946612";"43.806922";"Компьютеры / Бытовая техника / Офисная техника";"Ремонт аудио / видео / цифровой техники"
"1186";"Софт Мануфактура, ООО, сервисная компания";"Уссурийск";"Плеханова, 36Б";"5 офис; 2 этаж";"+74234370546";NULL;"http://www.soft-manufaktura.ru";"131.945853";"43.797014";"Компьютеры / Бытовая техника / Офисная техника";"Заправка картриджей"
"1187";"Интек, ООО, сервисный центр";"Уссурийск";"Октябрьская, 65а";"1 этаж";"+74234324770";NULL;NULL;"131.94709";"43.796303";"Компьютеры / Бытовая техника / Офисная техника";"Заправка картриджей"
"1188";"Сервисный центр, ИП Крылов Д.А.";"Уссурийск";"Комсомольская, 46";"1 этаж";"+74234334759";NULL;NULL;"131.948748";"43.803469";"Компьютеры / Бытовая техника / Офисная техника";"Заправка картриджей"
"1189";"Монтаж-Сервис, компания";"Уссурийск";"Ленинградская, 27а";"309 офис; 3 этаж";"+74234244220";NULL;"http://ms-25.ru";"131.935024";"43.80212";"Компьютеры / Бытовая техника / Офисная техника";"Монтаж компьютерных сетей"
"1190";"Мегасервис, ООО, торгово-монтажная компания";"Уссурийск";"Ленинградская, 29";;"+79147119315";NULL;NULL;"131.934975";"43.802925";"Компьютеры / Бытовая техника / Офисная техника";"Монтаж компьютерных сетей"
"1191";"Ля-Минор, магазин музыкальных инструментов";"Уссурийск";"Пушкина, 48";;"+79143323700";NULL;"http://muzdv.ru";"131.949868";"43.79909";"Компьютеры / Бытовая техника / Офисная техника";"Музыкальные инструменты / Аксессуары"
"1192";"Dynamik, магазин музыкальных инструментов";"Уссурийск";"Пушкина, 49";"2 этаж";"+79247220602";NULL;"http://dynamik25.ru";"131.954365";"43.800152";"Компьютеры / Бытовая техника / Офисная техника";"Музыкальные инструменты / Аксессуары"
"1193";"Магазин музыкальных инструментов, ИП Давыденко Ю.И.";"Уссурийск";"Тимирязева, 67";;NULL;NULL;NULL;"131.958794";"43.790403";"Компьютеры / Бытовая техника / Офисная техника";"Музыкальные инструменты / Аксессуары"
"1194";"Photoshop, цифровая фотолаборатория";"Уссурийск";"Некрасова, 105";"1 этаж";NULL;NULL;NULL;"131.950066";"43.801937";"Компьютеры / Бытовая техника / Офисная техника";"Фототовары"
"1195";"SelfieMarket, магазин";"Уссурийск";"Октябрьская, 77";;NULL;NULL;NULL;"131.950429";"43.796501";"Компьютеры / Бытовая техника / Офисная техника";"Фототовары"
"1196";"Фото Вид, магазин";"Уссурийск";"Блюхера проспект, 51 ст3";"2 этаж";"+74234263527";NULL;NULL;"131.980159";"43.810867";"Компьютеры / Бытовая техника / Офисная техника";"Компьютеры / Комплектующие"
"1197";"CD спектр, магазин";"Уссурийск";"Чичерина, 105";"2 этаж";NULL;NULL;NULL;"131.961456";"43.792611";"Компьютеры / Бытовая техника / Офисная техника";"CD / DVD / BD"
"1198";"Музыкальный салон, магазин мультимедийной продукции";"Уссурийск";"Чичерина, 76";"1 этаж";NULL;NULL;NULL;"131.959851";"43.791504";"Компьютеры / Бытовая техника / Офисная техника";"CD / DVD / BD"
"1199";"Blockbuster, магазин мультимедийной продукции";"Уссурийск";"Волочаевская, 77";;NULL;NULL;NULL;"131.959915";"43.802647";"Компьютеры / Бытовая техника / Офисная техника";"CD / DVD / BD"
"1200";"Бонус, магазин дисков";"Михайловка";"Красноармейская, 24";"2 этаж";NULL;NULL;NULL;"132.005348";"43.92576";"Компьютеры / Бытовая техника / Офисная техника";"CD / DVD / BD"
"1201";"CD спектр, магазин";"Уссурийск";"Калинина, 54";"1 этаж; центр Старый ГУМ";NULL;NULL;NULL;"131.958737";"43.789902";"Компьютеры / Бытовая техника / Офисная техника";"CD / DVD / BD"
"1202";"Техник, ООО, многопрофильная компания";"Уссурийск";"Владивостокское шоссе, 57";;"+79025264380";NULL;NULL;"131.986719";"43.761915";"Компьютеры / Бытовая техника / Офисная техника";"Ремонт / установка бытовой техники"
"1203";"Мобильная Служба Сервиса, сервисная компания";"Новоникольск";"Пионерская, 102";;"+74234240070";NULL;NULL;"131.85859";"43.858105";"Компьютеры / Бытовая техника / Офисная техника";"Ремонт / установка бытовой техники"
"1204";"Кореал, торговая компания";"Уссурийск";"Плеханова, 61";"318 павильон; 3 этаж";"+74234374700";NULL;"http://www.realkorea.ru";"131.952485";"43.798313";"Компьютеры / Бытовая техника / Офисная техника";"Бытовая техника"
"1205";"Кристофер, ООО";"Уссурийск";"Плеханова, 33";"вход с торца";"+74234231531";NULL;"http://xn--e1asffbt.xn--p1ai";"131.947197";"43.797599";"Компьютеры / Бытовая техника / Офисная техника";"Бытовая техника"
"1206";"Все для дома, магазин";"Уссурийск";"Ленинградская, 58";"1 этаж";"+74234342770";NULL;NULL;"131.935272";"43.806322";"Компьютеры / Бытовая техника / Офисная техника";"Бытовая техника"
"1207";"BRAVO, оптовая компания";"Уссурийск";"Некрасова, 258Б";"17 складское помещение";"+79140741141";NULL;"http://www.bravobt.ru";"131.943978";"43.835248";"Компьютеры / Бытовая техника / Офисная техника";"Бытовая техника"
"1208";"Комиссионный магазин";"Уссурийск";"Промышленная, 5а";"1 этаж";"+74234370174";NULL;"http://kmussur.ru";"131.985111";"43.770087";"Компьютеры / Бытовая техника / Офисная техника";"Бытовая техника"
"1209";"Цептер Интернациональ, ООО, торговая компания";"Уссурийск";"Плеханова, 61";"313 офис; 3 этаж";"+74234333650";NULL;NULL;"131.952485";"43.798313";"Компьютеры / Бытовая техника / Офисная техника";"Бытовая техника"
"1210";"Zepter, торговая компания";"Уссурийск";"Плеханова, 61";"312 павильон; 3 этаж";"+79147113025";NULL;NULL;"131.952485";"43.798313";"Компьютеры / Бытовая техника / Офисная техника";"Бытовая техника"
"1211";"Татьяна, магазин";"Уссурийск";"Краснознамённая, 135а";;NULL;NULL;NULL;"131.958395";"43.80005";"Компьютеры / Бытовая техника / Офисная техника";"Бытовая техника"
"1212";"Kafema, специализированный кофе-магазин";"Уссурийск";"Некрасова, 73а";"1 этаж";"+74234248422";NULL;"http://www.kafema.ru";"131.950217";"43.797151";"Компьютеры / Бытовая техника / Офисная техника";"Кофемашины"
"1213";"Мир, Христианская Протестантская Пресвитерианская Церковь";"Уссурийск";"Тимирязева, 77";"1 этаж";NULL;NULL;NULL;"131.960105";"43.790397";"Культура / Искусство / Религия";"Религиозные организации"
"1214";"Надежда, христианская методистская церковь";"Уссурийск";"Октябрьская, 124";"1 этаж";NULL;NULL;NULL;"131.965244";"43.798229";"Культура / Искусство / Религия";"Религиозные организации"
"1215";"Храм святителя Николая Чудотворца";"Уссурийск";"Комарова, 60";;"+79147384039";NULL;"http://ussur-nikola.cerkov.ru";"131.949069";"43.812646";"Культура / Искусство / Религия";"Храмы / Соборы / Церкви"
"1216";"Церковь Покрова Пресвятой Богородицы";"Уссурийск";"Чичерина, 80а";;NULL;NULL;NULL;"131.961776";"43.791484";"Культура / Искусство / Религия";"Храмы / Соборы / Церкви"
"1217";"Храм Святого преподобного Серафима Саровского";"Уссурийск";"Слободская, 15а";;NULL;NULL;NULL;"131.987367";"43.803006";"Культура / Искусство / Религия";"Храмы / Соборы / Церкви"
"1218";"Храм Архангела Михаила";"Михайловка";"Вокзальная, 2";;"+74234623755";NULL;NULL;"132.008609";"43.93054";"Культура / Искусство / Религия";"Храмы / Соборы / Церкви"
"1219";"Дом Жизни, христианская церковь";"Уссурийск";"Дзержинского, 8";;"+74234328088";NULL;NULL;"131.939878";"43.793398";"Культура / Искусство / Религия";"Храмы / Соборы / Церкви"
"1220";"Церковь Евангельских христиан баптистов";"Уссурийск";"Краснознамённая, 143";;NULL;NULL;NULL;"131.958575";"43.801701";"Культура / Искусство / Религия";"Храмы / Соборы / Церкви"
"1221";"Церковь Евангельских христиан-баптистов г. Уссурийска";"Уссурийск";"Калугина, 1а";;NULL;NULL;NULL;"131.964802";"43.793787";"Культура / Искусство / Религия";"Храмы / Соборы / Церкви"
"1222";"Благодать, христианская пресвитерианская церковь";"Михайловка";"Красноармейская, 12а";;NULL;NULL;NULL;"132.00142";"43.924736";"Культура / Искусство / Религия";"Храмы / Соборы / Церкви"
"1223";"Церковь Евангельских христиан-баптистов г. Уссурийска";"Уссурийск";"Калугина, 3а";;NULL;NULL;NULL;"131.964734";"43.794051";"Культура / Искусство / Религия";"Храмы / Соборы / Церкви"
"1224";"Музей Уссурийского городского округа";"Уссурийск";"Краснознамённая, 80";;NULL;NULL;NULL;"131.961019";"43.790562";"Культура / Искусство / Религия";"Музеи"
"1225";"Историко-краеведческий музей";"Михайловка";"1-й квартал, 7";;NULL;NULL;NULL;"132.004685";"43.925628";"Культура / Искусство / Религия";"Музеи"
"1226";"Центральная городская библиотека им. М. Горького";"Уссурийск";"Чичерина, 85";;"+74234322105";NULL;NULL;"131.953819";"43.791441";"Культура / Искусство / Религия";"Библиотеки"
"1227";"Библиотека №3";"Уссурийск";"Некрасова, 249";"1 этаж; вход с торца";"+74234330687";NULL;NULL;"131.941884";"43.834297";"Культура / Искусство / Религия";"Библиотеки"
"1228";"Центральная детская библиотека";"Уссурийск";"Некрасова, 37";"1 этаж";"+74234320776";NULL;NULL;"131.952703";"43.791617";"Культура / Искусство / Религия";"Библиотеки"
"1229";"Библиотека, Дом офицеров";"Уссурийск";"Советская, 31";"2 этаж";"+74234320206";NULL;NULL;"131.948104";"43.793286";"Культура / Искусство / Религия";"Библиотеки"
"1230";"Библиотека №10";"Уссурийск";"Александра Францева, 15";;"+74234353260";NULL;NULL;"131.973274";"43.784276";"Культура / Искусство / Религия";"Библиотеки"
"1231";"Библиотека семейного чтения №1";"Уссурийск";"Пролетарская, 89";"1 этаж";"+74234334115";NULL;NULL;"131.952361";"43.802871";"Культура / Искусство / Религия";"Библиотеки"
"1232";"Библиотека №5 им. Н.М. Пржевальского";"Уссурийск";"Владивостокское шоссе, 109";"цокольный этаж";"+74234326612";NULL;NULL;"131.979979";"43.766397";"Культура / Искусство / Религия";"Библиотеки"
"1233";"Детская библиотека №9";"Уссурийск";"Владивостокское шоссе, 22";"1 этаж";"+74234326668";NULL;NULL;"131.98206";"43.766266";"Культура / Искусство / Религия";"Библиотеки"
"1234";"Приморская краевая библиотека для слепых, филиал в г. Уссурийске";"Уссурийск";"Пушкина, 88";;"+74234338614";NULL;NULL;"131.957584";"43.800123";"Культура / Искусство / Религия";"Библиотеки"
"1235";"Библиотека №24";"Воздвиженка";"Ленинская, 61";;"+74234391756";NULL;NULL;"131.946489";"43.892299";"Культура / Искусство / Религия";"Библиотеки"
"1236";"Библиотека №7";"Уссурийск";"Артёмовская, 1Б";"2 этаж";"+74234345472";NULL;NULL;"131.888207";"43.831856";"Культура / Искусство / Религия";"Библиотеки"
"1237";"Межпоселенческая библиотека, Михайловского муниципального района";"Михайловка";"1-й квартал, 2";"1 этаж";"+74234623008";NULL;NULL;"132.004696";"43.923985";"Культура / Искусство / Религия";"Библиотеки"
"1238";"Библиотека №27";"Новоникольск";"Советская, 78";;NULL;NULL;NULL;"131.864676";"43.850861";"Культура / Искусство / Религия";"Библиотеки"
"1239";"Театр драмы им. В.Ф. Комиссаржевской";"Уссурийск";"Володарского, 33";;"+74234315355";NULL;"http://usteatr.ru";"131.944999";"43.792106";"Культура / Искусство / Религия";"Театры"
"1240";"Драматический театр Восточного Военного округа";"Уссурийск";"Советская, 31";;"+74234322825";NULL;NULL;"131.948104";"43.793286";"Культура / Искусство / Религия";"Театры"
"1241";"Дом художника, художественный салон-галерея";"Уссурийск";"Некрасова, 24";"1 этаж";"+74234320960";NULL;NULL;"131.954166";"43.789632";"Культура / Искусство / Религия";"Художественные товары / материалы"
"1242";"Золотой Рог, ООО, арт-салон";"Уссурийск";"Суханова, 36";"вход с торца";"+74234325107";NULL;NULL;"131.950325";"43.793";"Культура / Искусство / Религия";"Художественные товары / материалы"
"1243";"Коллекционер, антикварный магазин";"Уссурийск";"Тимирязева, 56";"9 офис; 2 этаж";"+74234306566";NULL;NULL;"131.957213";"43.790304";"Культура / Искусство / Религия";"Антиквариат"
